total trips,total member,total casual
2711,1892,819
1647,1616,31
877,739,138
542,512,30
1703,1492,211
1679,1147,532
177,172,5
942,856,86
1881,1614,267
336,299,37
75,62,13
199,154,45
361,347,14
1358,1321,37
1044,973,71
280,279,1
4986,1985,3001
1457,1340,117
5112,3814,1298
370,196,174
661,634,27
515,349,166
3378,1209,2169
1905,1821,84
1506,1110,396
36,36,0
4199,2952,1247
297,291,6
5355,3250,2105
1978,1889,89
3796,2498,1298
435,430,5
461,459,2
1195,946,249
2467,1623,844
3187,2775,412
72,43,29
1179,1172,7
688,665,23
1307,883,424
604,492,112
3569,2497,1072
3716,2992,724
455,440,15
141,139,2
1334,1306,28
1404,1068,336
352,337,15
285,206,79
570,452,118
288,279,9
5336,2489,2847
359,227,132
450,436,14
404,359,45
3107,2141,966
50,47,3
2540,2379,161
39,39,0
154,128,26
2256,1745,511
404,392,12
56,54,2
116,110,6
530,510,20
573,567,6
147,129,18
2182,1372,810
589,380,209
486,419,67
1832,1517,315
462,373,89
341,333,8
3464,2145,1319
226,215,11
1024,793,231
626,616,10
115,94,21
1968,1296,672
6567,2450,4117
1588,1168,420
3137,2242,895
640,347,293
85,85,0
519,379,140
3439,2886,553
1875,1784,91
362,247,115
5531,3776,1755
1157,929,228
427,371,56
1718,1463,255
201,150,51
588,560,28
3132,2903,229
381,299,82
2998,1601,1397
1835,1051,784
306,257,49
956,886,70
2302,674,1628
1368,929,439
1362,1339,23
737,565,172
96,91,5
242,175,67
4165,1343,2822
1017,615,402
2052,1276,776
290,285,5
1336,992,344
1042,826,216
1665,1573,92
30,30,0
1267,1235,32
1212,1192,20
744,556,188
271,245,26
275,273,2
1734,819,915
3508,2435,1073
610,516,94
3608,1515,2093
228,159,69
2198,1606,592
4966,3811,1155
3334,1330,2004
80,80,0
242,187,55
131,126,5
561,544,17
2278,1871,407
715,678,37
3870,2083,1787
2977,2686,291
5527,3134,2393
890,849,41
514,416,98
341,304,37
3187,2229,958
1395,1311,84
430,303,127
661,645,16
1330,974,356
338,336,2
331,206,125
899,862,37
345,316,29
2417,1772,645
1368,928,440
182,140,42
2531,1419,1112
1100,914,186
227,216,11
1029,949,80
1309,959,350
1692,1260,432
519,349,170
256,248,8
739,706,33
2398,1426,972
143,88,55
471,426,45
1334,1124,210
386,272,114
2275,2185,90
1761,1683,78
330,325,5
2977,1846,1131
1953,1404,549
1783,1623,160
71,70,1
812,800,12
147,104,43
1914,1840,74
2214,2134,80
1873,1526,347
71,64,7
587,501,86
214,204,10
396,382,14
1636,1166,470
635,575,60
179,108,71
674,562,112
2927,1086,1841
2613,2261,352
2870,1903,967
538,528,10
593,567,26
1181,1147,34
147,143,4
918,881,37
1307,1292,15
40,39,1
385,196,189
802,586,216
1133,1021,112
496,465,31
41,41,0
484,366,118
188,186,2
732,674,58
3853,1223,2630
231,163,68
236,230,6
3255,1841,1414
158,130,28
1004,870,134
841,747,94
566,528,38
634,505,129
137,133,4
283,209,74
63,57,6
2938,2079,859
2178,1671,507
132,129,3
821,720,101
81,77,4
105,92,13
541,512,29
821,544,277
376,373,3
544,415,129
1002,719,283
382,379,3
1371,955,416
374,342,32
174,136,38
38,38,0
869,597,272
113,109,4
4062,2259,1803
1264,1242,22
348,197,151
164,135,29
1082,1061,21
4460,3565,895
568,461,107
1773,1739,34
44,41,3
272,267,5
445,414,31
332,250,82
3671,1178,2493
435,395,40
674,630,44
1680,1354,326
3878,1991,1887
47,42,5
118,88,30
544,371,173
3356,2848,508
127,124,3
1263,1163,100
1501,1002,499
315,271,44
1082,1062,20
771,562,209
496,479,17
102,101,1
1083,1015,68
2105,2008,97
3179,2824,355
145,106,39
549,485,64
938,879,59
495,482,13
753,688,65
305,255,50
1252,569,683
106,100,6
3044,2379,665
1399,1370,29
171,166,5
6243,3012,3231
1385,944,441
37,33,4
777,764,13
825,698,127
107,102,5
960,880,80
4897,3057,1840
406,311,95
336,330,6
1032,957,75
2332,1728,604
1336,728,608
388,319,69
154,153,1
3634,2252,1382
1657,1404,253
1810,1390,420
548,403,145
1172,944,228
1370,946,424
1629,1603,26
264,211,53
1245,1011,234
1621,1425,196
742,732,10
449,444,5
2615,2212,403
1313,1158,155
260,229,31
522,441,81
82,76,6
975,685,290
105,94,11
977,319,658
764,654,110
3393,1483,1910
710,588,122
1273,1240,33
1404,997,407
56,38,18
711,608,103
4691,2955,1736
490,488,2
2415,1490,925
2054,1971,83
70,65,5
215,213,2
4678,3483,1195
598,524,74
1023,714,309
1457,703,754
776,743,33
2017,1492,525
624,601,23
280,277,3
101,99,2
537,430,107
481,394,87
137,100,37
801,770,31
567,555,12
3322,2383,939
1212,918,294
170,89,81
1422,1192,230
205,203,2
640,493,147
3248,2571,677
259,203,56
763,463,300
267,247,20
2601,972,1629
66,63,3
347,295,52
104,101,3
694,478,216
5689,2795,2894
573,487,86
191,184,7
692,610,82
930,872,58
867,621,246
517,515,2
25,25,0
5511,3158,2353
1678,672,1006
1142,1017,125
3031,1607,1424
2440,747,1693
72,70,2
1473,1408,65
71,67,4
2105,1957,148
518,499,19
1758,1688,70
1195,880,315
572,523,49
1254,1020,234
30,28,2
1726,1647,79
1620,1078,542
551,324,227
153,132,21
725,432,293
883,746,137
80,80,0
2279,1593,686
307,254,53
583,559,24
1571,1462,109
471,466,5
2318,2125,193
2240,2180,60
325,322,3
25,25,0
74,48,26
173,168,5
1900,1673,227
1400,1237,163
4324,2054,2270
827,781,46
781,760,21
3450,2920,530
1444,1361,83
826,763,63
4282,3207,1075
5405,3619,1786
2562,967,1595
829,775,54
5480,3048,2432
2590,2323,267
2039,1677,362
2262,1513,749
430,330,100
2336,1629,707
1939,1433,506
6626,3696,2930
638,396,242
708,674,34
4313,3542,771
2621,2419,202
1272,1251,21
1559,1286,273
595,559,36
521,306,215
351,347,4
848,781,67
166,165,1
1746,1631,115
635,545,90
10,10,0
271,250,21
624,502,122
1643,1493,150
779,764,15
38,37,1
765,655,110
702,692,10
2198,2083,115
5080,3358,1722
571,531,40
1709,1546,163
4626,1994,2632
1841,1638,203
3811,3038,773
5396,2796,2600
380,368,12
3401,2238,1163
1824,1477,347
1786,1550,236
997,825,172
807,627,180
716,699,17
78,73,5
371,231,140
1720,1514,206
743,617,126
3032,2064,968
982,700,282
2509,2399,110
1878,973,905
189,164,25
80,74,6
5947,3401,2546
2158,1735,423
1614,754,860
1873,1788,85
191,170,21
536,460,76
444,438,6
430,348,82
629,213,416
436,430,6
1403,1192,211
878,833,45
787,760,27
29,24,5
5001,3491,1510
2988,1451,1537
787,771,16
97,80,17
3920,3177,743
3316,2621,695
778,750,28
2790,1101,1689
562,549,13
1695,1655,40
205,156,49
127,97,30
5048,2921,2127
330,269,61
4141,1867,2274
2082,1688,394
2167,1910,257
2390,2240,150
159,156,3
658,559,99
1106,1055,51
1031,864,167
1304,1101,203
202,140,62
986,894,92
1050,815,235
95,85,10
251,248,3
3769,2590,1179
4178,3151,1027
380,360,20
24,24,0
1026,729,297
183,150,33
349,344,5
683,643,40
24,23,1
209,201,8
4649,3507,1142
2045,1953,92
746,638,108
744,720,24
2592,1843,749
3533,2254,1279
1739,1702,37
118,116,2
182,152,30
2053,1450,603
2419,902,1517
383,260,123
423,418,5
7092,3216,3876
40,39,1
106,102,4
5932,3675,2257
648,621,27
240,220,20
1112,870,242
688,617,71
263,259,4
1453,796,657
1752,790,962
3105,2215,890
1273,916,357
549,478,71
769,718,51
630,610,20
2900,2411,489
2075,1987,88
157,149,8
2747,1636,1111
1691,1526,165
667,632,35
1442,1172,270
133,108,25
624,595,29
126,126,0
1733,884,849
80,78,2
43,42,1
71,66,5
698,626,72
783,729,54
496,468,28
7044,3114,3930
7233,3803,3430
4839,1914,2925
958,899,59
1414,1396,18
1556,1020,536
2655,1624,1031
2870,1604,1266
1246,944,302
1704,1021,683
1386,730,656
803,745,58
603,384,219
43,43,0
1367,1113,254
650,456,194
40,39,1
6699,3895,2804
1847,636,1211
1494,1138,356
2161,1995,166
1103,1060,43
207,123,84
2287,1807,480
557,549,8
507,307,200
2441,1809,632
770,542,228
140,140,0
144,141,3
46,45,1
1172,930,242
25,11,14
259,177,82
625,614,11
1461,1331,130
441,271,170
1429,1393,36
57,54,3
64,54,10
2631,1793,838
2490,1951,539
85,83,2
622,444,178
460,445,15
1036,366,670
2691,1685,1006
910,681,229
2563,1756,807
598,415,183
1461,1064,397
1065,811,254
468,447,21
98,84,14
382,373,9
605,598,7
6295,2735,3560
1798,1722,76
39,38,1
335,116,219
3138,2277,861
467,456,11
159,124,35
1009,937,72
77,71,6
40,39,1
252,248,4
3029,1297,1732
449,308,141
1020,995,25
2689,2060,629
3618,1931,1687
3188,1791,1397
241,214,27
1900,1156,744
5105,2195,2910
1236,907,329
4990,3615,1375
979,773,206
318,224,94
850,829,21
711,706,5
1410,1111,299
1562,1114,448
2712,2339,373
843,795,48
748,501,247
1029,963,66
2125,860,1265
251,250,1
235,218,17
456,447,9
1459,1433,26
1275,1188,87
223,207,16
3875,2047,1828
2266,873,1393
3173,2167,1006
170,101,69
1267,1037,230
450,331,119
97,78,19
4026,3232,794
884,876,8
2886,2154,732
1869,1744,125
153,149,4
1116,794,322
2345,2288,57
240,205,35
2156,1293,863
1127,1054,73
212,206,6
1397,960,437
498,438,60
674,630,44
735,680,55
1226,1155,71
177,150,27
86,75,11
2994,2792,202
601,577,24
657,583,74
4384,2912,1472
157,94,63
2807,2057,750
268,177,91
364,187,177
362,339,23
3099,2104,995
360,326,34
2020,1287,733
3642,3015,627
2499,2062,437
3474,2009,1465
95,89,6
452,418,34
452,428,24
958,637,321
1335,1164,171
898,675,223
1191,710,481
44,34,10
113,104,9
1090,999,91
379,372,7
285,280,5
2112,1001,1111
1845,1383,462
40,38,2
3239,2717,522
62,58,4
1814,1736,78
1132,1129,3
285,159,126
430,230,200
165,162,3
894,659,235
4887,3314,1573
705,563,142
1995,1822,173
859,821,38
3826,3236,590
608,400,208
4452,3069,1383
53,52,1
214,134,80
329,308,21
3094,2211,883
820,806,14
1062,772,290
119,111,8
1716,1585,131
66,64,2
6241,2566,3675
65,61,4
1652,1463,189
176,149,27
644,535,109
3741,2443,1298
683,619,64
812,608,204
5473,3174,2299
89,89,0
63,62,1
76,60,16
5343,2690,2653
89,85,4
445,439,6
73,68,5
2136,1741,395
170,120,50
792,763,29
2354,1414,940
133,108,25
216,207,9
70,66,4
4166,1833,2333
2512,2312,200
2334,1822,512
825,769,56
2943,2157,786
1698,1588,110
90,68,22
2359,887,1472
44,44,0
727,628,99
3251,2224,1027
3896,2400,1496
308,282,26
502,439,63
94,87,7
446,443,3
55,52,3
1352,1314,38
86,80,6
261,228,33
2200,1269,931
2228,1986,242
1741,1465,276
966,550,416
574,503,71
185,68,117
183,151,32
1364,641,723
163,147,16
655,441,214
501,496,5
240,233,7
810,669,141
2601,1859,742
3972,1948,2024
1992,959,1033
1792,1568,224
978,968,10
1787,1285,502
311,202,109
509,501,8
441,315,126
1010,780,230
541,283,258
2066,1848,218
1144,975,169
294,291,3
126,87,39
3530,2282,1248
1990,1889,101
4029,3161,868
1427,866,561
1591,1566,25
6954,3844,3110
804,625,179
35,34,1
562,392,170
3574,2256,1318
76,55,21
356,323,33
274,251,23
6613,3123,3490
540,378,162
162,156,6
320,262,58
889,863,26
1687,1656,31
117,98,19
4346,1992,2354
181,168,13
4242,2908,1334
2760,2089,671
1580,1556,24
408,397,11
1111,1101,10
825,625,200
104,102,2
574,564,10
2688,2024,664
332,292,40
1749,1678,71
1628,1228,400
28,28,0
4272,2721,1551
3020,2136,884
457,443,14
392,387,5
350,283,67
129,123,6
792,629,163
3939,2593,1346
2296,1758,538
4236,1624,2612
13,13,0
1234,986,248
836,774,62
167,159,8
276,231,45
317,313,4
1140,881,259
6007,3336,2671
1000,621,379
2407,1960,447
3768,1307,2461
575,363,212
1279,789,490
2628,2130,498
1507,1331,176
402,306,96
802,632,170
267,244,23
497,371,126
163,131,32
50,48,2
648,599,49
4440,2865,1575
2714,2024,690
497,208,289
420,382,38
44,42,2
2566,2388,178
1839,1440,399
2371,1695,676
1124,1108,16
3700,1706,1994
752,602,150
1425,1135,290
717,556,161
733,722,11
146,145,1
715,709,6
983,974,9
2280,1893,387
203,170,33
3346,2168,1178
60,57,3
3443,2803,640
328,308,20
283,195,88
340,333,7
522,516,6
1425,1413,12
129,83,46
1225,1093,132
108,88,20
50,43,7
47,43,4
1139,1021,118
222,220,2
2829,2235,594
1193,722,471
76,74,2
273,174,99
175,86,89
2797,1852,945
135,106,29
237,219,18
2684,1734,950
497,493,4
1613,1125,488
206,188,18
714,561,153
1283,1146,137
445,434,11
1802,1483,319
2390,2311,79
2184,1218,966
918,753,165
2589,1654,935
322,232,90
2595,2197,398
3118,2079,1039
1140,1134,6
1035,643,392
3820,1434,2386
13,13,0
1102,723,379
2236,968,1268
2625,2266,359
140,121,19
1234,1069,165
984,497,487
5307,3208,2099
1790,1393,397
1413,1245,168
64,59,5
1731,1244,487
2427,1954,473
301,198,103
1108,658,450
1375,828,547
612,593,19
1423,1363,60
1380,996,384
1726,1472,254
250,237,13
688,560,128
434,322,112
845,661,184
33,31,2
46,37,9
2022,724,1298
89,84,5
690,666,24
647,622,25
2138,1907,231
2003,1532,471
1512,1165,347
2618,2200,418
1628,1427,201
725,518,207
837,677,160
3381,1238,2143
542,419,123
2251,891,1360
2839,1794,1045
4425,1656,2769
400,370,30
655,417,238
21,21,0
54,45,9
275,192,83
589,581,8
315,303,12
78,42,36
882,811,71
4126,1993,2133
1969,1753,216
445,432,13
1012,910,102
517,490,27
3775,2595,1180
162,135,27
271,244,27
79,75,4
221,218,3
141,104,37
915,720,195
521,491,30
420,411,9
167,139,28
944,550,394
2838,2611,227
219,185,34
28,25,3
3208,2007,1201
1394,1150,244
341,323,18
826,761,65
3271,1099,2172
3137,2752,385
326,312,14
2693,2095,598
746,680,66
701,431,270
214,206,8
60,58,2
1002,808,194
2630,2418,212
329,270,59
3985,2769,1216
1446,801,645
44,44,0
1865,1732,133
4440,3434,1006
1075,970,105
861,799,62
717,608,109
604,531,73
1823,749,1074
52,50,2
4382,3011,1371
2545,1664,881
1648,1437,211
317,288,29
158,113,45
18,18,0
48,48,0
1097,971,126
3901,2878,1023
1053,585,468
462,311,151
565,539,26
1613,1215,398
180,122,58
1782,987,795
85,50,35
86,77,9
1468,1302,166
1134,1118,16
4827,3367,1460
563,428,135
6096,2809,3287
2297,1561,736
1123,1090,33
555,450,105
134,128,6
1295,1263,32
2394,1064,1330
2189,1765,424
2048,723,1325
4822,3237,1585
180,179,1
594,577,17
4139,1899,2240
142,110,32
38,38,0
2750,2529,221
737,643,94
1620,585,1035
2264,1348,916
1384,670,714
4179,3154,1025
6344,2753,3591
1529,553,976
1371,1235,136
2280,1155,1125
3112,2368,744
492,462,30
82,55,27
1507,1456,51
763,743,20
257,219,38
599,556,43
700,683,17
353,318,35
1922,1621,301
185,168,17
5364,1468,3896
25,25,0
2899,2253,646
82,64,18
1289,1043,246
130,126,4
37,33,4
480,466,14
929,869,60
1197,567,630
2138,1728,410
23,21,2
1925,1518,407
387,312,75
255,232,23
2482,1630,852
33,33,0
294,199,95
687,647,40
305,289,16
1897,1799,98
158,130,28
349,277,72
48,46,2
2733,1741,992
758,671,87
1008,935,73
46,45,1
862,696,166
780,630,150
804,570,234
135,126,9
781,645,136
1849,764,1085
946,685,261
386,385,1
435,261,174
1607,604,1003
435,417,18
1335,1115,220
3655,3184,471
1952,1454,498
1016,975,41
108,107,1
3784,3099,685
290,281,9
413,403,10
68,60,8
1847,1009,838
1930,1575,355
334,323,11
755,745,10
621,610,11
114,51,63
385,291,94
254,235,19
494,468,26
4462,2199,2263
1871,1022,849
1993,1376,617
1628,1597,31
666,634,32
1590,1531,59
73,69,4
2452,1783,669
160,138,22
379,304,75
117,96,21
1423,964,459
95,94,1
30,30,0
5012,3548,1464
1016,909,107
2466,1763,703
2716,1388,1328
107,107,0
2953,1984,969
2754,1477,1277
942,910,32
238,142,96
160,157,3
2133,1982,151
404,276,128
1897,1541,356
252,188,64
3139,2218,921
2220,1492,728
574,547,27
1646,1412,234
219,197,22
3576,2486,1090
8498,3720,4778
35,34,1
275,272,3
38,33,5
2937,2732,205
4625,3186,1439
440,438,2
3722,1868,1854
1850,1357,493
10,10,0
183,124,59
7212,3736,3476
225,202,23
536,508,28
359,331,28
443,409,34
1104,992,112
1397,1374,23
36,31,5
270,253,17
1955,1372,583
251,231,20
999,881,118
2826,2697,129
2111,1710,401
2800,1463,1337
2864,1709,1155
443,425,18
86,78,8
61,54,7
219,198,21
1136,618,518
565,332,233
5275,2916,2359
1735,1477,258
3521,1118,2403
132,94,38
1166,830,336
363,144,219
5380,3446,1934
1437,876,561
4586,3930,656
23,22,1
792,768,24
4896,3540,1356
237,232,5
92,83,9
350,296,54
1467,1408,59
858,841,17
61,56,5
918,862,56
2022,1946,76
3803,2176,1627
2200,1782,418
618,594,24
3386,2010,1376
1853,1572,281
249,94,155
1169,1153,16
1797,1667,130
172,112,60
1145,1028,117
1138,795,343
3368,2295,1073
1829,650,1179
5190,2736,2454
1222,647,575
618,582,36
2985,2036,949
4048,2332,1716
260,246,14
446,432,14
622,489,133
251,142,109
2401,867,1534
1052,1018,34
87,86,1
184,174,10
159,155,4
1474,1220,254
381,356,25
167,121,46
147,135,12
5352,3035,2317
5413,2385,3028
206,205,1
475,461,14
3984,3428,556
4953,3300,1653
583,277,306
963,658,305
4851,3710,1141
323,202,121
304,276,28
4575,3577,998
207,159,48
1507,1450,57
4163,2203,1960
82,62,20
4845,3463,1382
2895,1480,1415
1297,662,635
2381,2233,148
173,171,2
1910,1183,727
742,720,22
277,194,83
1939,782,1157
4295,3088,1207
3586,2254,1332
4124,1800,2324
1297,1285,12
2253,1798,455
490,401,89
3663,2257,1406
161,153,8
577,570,7
121,119,2
3456,2393,1063
2225,1825,400
833,813,20
1138,1047,91
334,210,124
146,121,25
11,11,0
3799,3076,723
2061,1533,528
27,26,1
912,314,598
1176,917,259
2011,815,1196
35,31,4
636,576,60
682,422,260
610,591,19
556,495,61
791,750,41
353,286,67
320,313,7
2247,1441,806
906,832,74
92,86,6
380,244,136
1481,1435,46
424,239,185
965,910,55
37,35,2
1621,1571,50
320,297,23
741,286,455
2775,2330,445
5306,2744,2562
1733,1395,338
1249,1213,36
327,325,2
3602,2203,1399
981,610,371
145,116,29
515,408,107
107,94,13
41,37,4
144,111,33
427,411,16
1197,1175,22
1800,1459,341
1313,1047,266
2149,1104,1045
1720,1590,130
1689,1270,419
451,421,30
4830,3423,1407
35,32,3
595,402,193
678,484,194
1834,1163,671
704,688,16
2760,2595,165
1214,1114,100
615,609,6
141,130,11
1288,907,381
3313,1291,2022
1291,1204,87
1004,722,282
127,124,3
3293,2426,867
1921,1490,431
88,84,4
800,677,123
193,183,10
286,141,145
1537,554,983
2731,2360,371
3538,3055,483
1993,801,1192
1947,1371,576
926,842,84
1534,933,601
1135,1119,16
2359,1807,552
477,202,275
2793,2370,423
152,118,34
142,99,43
2872,1138,1734
584,504,80
199,146,53
2594,2334,260
872,541,331
48,48,0
1680,1082,598
831,694,137
190,185,5
246,156,90
2259,1843,416
454,390,64
331,331,0
1482,865,617
194,179,15
486,465,21
241,228,13
857,515,342
415,393,22
1092,664,428
1339,785,554
27,27,0
3890,2380,1510
263,202,61
266,262,4
1555,995,560
1509,1249,260
719,704,15
3277,2218,1059
1111,769,342
5074,1848,3226
1021,1004,17
6857,3013,3844
3008,2582,426
263,227,36
1926,1551,375
698,683,15
2407,1930,477
1713,1314,399
690,643,47
1891,1536,355
528,501,27
1824,1585,239
5412,2484,2928
87,71,16
366,366,0
2256,2040,216
633,523,110
179,141,38
2748,995,1753
1869,1433,436
127,97,30
552,425,127
792,736,56
1651,565,1086
260,245,15
77,51,26
1356,1124,232
29,21,8
591,580,11
119,118,1
50,50,0
123,76,47
282,256,26
214,200,14
787,661,126
76,61,15
311,304,7
83,78,5
1387,1348,39
569,368,201
1173,836,337
3087,2645,442
1881,1795,86
1872,643,1229
2679,2249,430
123,122,1
55,52,3
55,49,6
928,868,60
2284,2033,251
247,173,74
742,708,34
1632,1588,44
495,450,45
298,271,27
4154,1524,2630
404,350,54
461,248,213
665,643,22
905,720,185
1775,1687,88
1688,1140,548
3895,2716,1179
2741,2093,648
439,398,41
1963,1857,106
555,438,117
3995,1847,2148
1028,988,40
3302,1252,2050
804,610,194
4019,2517,1502
698,665,33
285,255,30
160,115,45
3746,2088,1658
220,177,43
1801,1476,325
177,145,32
1076,1068,8
2715,1776,939
1124,1117,7
435,415,20
77,74,3
85,67,18
91,65,26
2852,2605,247
1310,1135,175
3062,2155,907
104,101,3
1617,1547,70
664,549,115
597,576,21
2807,2684,123
178,150,28
3053,1556,1497
711,659,52
67,66,1
63,58,5
955,769,186
74,73,1
4308,3558,750
135,101,34
267,202,65
116,115,1
491,480,11
981,825,156
7446,3259,4187
1060,698,362
68,56,12
558,483,75
4247,2322,1925
802,768,34
664,469,195
996,940,56
34,23,11
605,601,4
527,417,110
230,224,6
5189,2576,2613
878,794,84
438,392,46
208,162,46
895,878,17
5228,3171,2057
637,568,69
74,71,3
643,567,76
1899,846,1053
3230,2811,419
6317,1837,4480
342,257,85
1109,916,193
116,115,1
235,235,0
4734,2601,2133
1901,1783,118
2073,1776,297
1806,1434,372
419,416,3
647,599,48
508,443,65
1450,1131,319
1073,1055,18
278,272,6
832,557,275
118,114,4
3202,2247,955
594,587,7
1003,675,328
1865,1775,90
68,58,10
64,64,0
5847,3156,2691
2604,2421,183
634,599,35
19,19,0
3719,2471,1248
3884,2381,1503
1516,1225,291
423,411,12
1224,1205,19
536,516,20
91,77,14
392,361,31
3584,2479,1105
1078,1071,7
553,433,120
1246,1088,158
1114,1108,6
1873,1854,19
199,155,44
1753,1430,323
4557,2206,2351
145,88,57
3195,1206,1989
84,80,4
519,511,8
559,551,8
659,593,66
919,743,176
1128,365,763
414,270,144
159,150,9
1327,992,335
1794,1594,200
326,267,59
42,41,1
352,349,3
4327,2524,1803
6755,2705,4050
2929,1910,1019
325,320,5
428,296,132
1923,1200,723
156,148,8
392,374,18
373,260,113
291,287,4
154,110,44
1651,1381,270
719,627,92
137,100,37
1663,1412,251
1338,1306,32
292,253,39
1226,1101,125
2483,1722,761
58,44,14
1762,1474,288
233,170,63
34,34,0
3848,2558,1290
1727,1682,45
140,133,7
965,895,70
756,320,436
2581,1233,1348
609,549,60
150,139,11
29,24,5
218,206,12
3390,1750,1640
1069,873,196
3490,2375,1115
2070,1390,680
3334,2339,995
291,283,8
508,504,4
3616,2436,1180
3793,2499,1294
2548,1978,570
2200,790,1410
42,39,3
335,330,5
1081,852,229
910,680,230
2926,1759,1167
141,111,30
855,819,36
887,615,272
1040,971,69
2423,1622,801
851,838,13
6398,2551,3847
489,372,117
560,526,34
292,224,68
1045,1033,12
1400,1262,138
57,49,8
511,500,11
724,705,19
1755,1442,313
523,426,97
6636,2542,4094
269,266,3
1506,920,586
1026,1002,24
987,795,192
941,876,65
3566,1884,1682
1089,941,148
7778,3496,4282
1590,1219,371
1480,1248,232
1111,893,218
1617,778,839
1153,968,185
1006,979,27
115,113,2
1551,1450,101
283,275,8
918,870,48
366,352,14
950,682,268
154,146,8
108,98,10
1356,1052,304
367,328,39
440,420,20
1013,859,154
3244,2382,862
102,90,12
2144,1204,940
110,102,8
4427,1372,3055
257,232,25
52,52,0
822,798,24
798,684,114
976,789,187
2829,1044,1785
951,915,36
101,95,6
173,112,61
127,91,36
1281,951,330
966,611,355
2319,2023,296
81,77,4
1317,989,328
224,136,88
1333,1066,267
997,746,251
1901,1809,92
942,685,257
497,475,22
104,85,19
593,542,51
498,489,9
1305,1132,173
262,254,8
4395,2368,2027
32,28,4
4684,2797,1887
1248,925,323
460,315,145
1840,1478,362
1050,714,336
587,499,88
1909,884,1025
122,110,12
77,66,11
462,331,131
444,430,14
2620,1904,716
2542,2065,477
261,239,22
7244,3273,3971
975,866,109
42,35,7
1213,427,786
1377,522,855
144,76,68
401,395,6
646,614,32
188,137,51
722,505,217
2839,1679,1160
782,717,65
610,566,44
55,42,13
2717,2024,693
487,370,117
267,253,14
3112,2841,271
4720,3316,1404
768,687,81
1567,1487,80
1649,1278,371
777,581,196
17,17,0
1891,1829,62
733,513,220
350,280,70
1038,835,203
190,111,79
89,78,11
2915,1109,1806
531,372,159
71,64,7
2193,1570,623
3775,2283,1492
38,37,1
1038,870,168
432,427,5
426,248,178
5008,3494,1514
657,632,25
33,32,1
245,171,74
388,305,83
656,528,128
445,433,12
312,287,25
1566,1340,226
87,69,18
1857,1568,289
1164,1145,19
2990,1689,1301
405,377,28
2536,2307,229
49,47,2
377,276,101
220,162,58
1313,1275,38
555,363,192
602,464,138
1183,779,404
3569,2566,1003
5779,3257,2522
807,799,8
477,304,173
751,695,56
1791,1501,290
139,123,16
778,661,117
5268,3662,1606
208,207,1
899,871,28
1311,446,865
3775,2828,947
4495,3060,1435
579,309,270
3970,1776,2194
1727,1254,473
5579,3918,1661
1647,1141,506
6058,3363,2695
2929,1657,1272
573,548,25
4486,3266,1220
1735,1341,394
1994,1589,405
736,620,116
703,580,123
2618,2254,364
174,133,41
624,511,113
537,454,83
96,73,23
975,753,222
768,714,54
950,894,56
92,90,2
208,201,7
275,262,13
413,245,168
1872,1805,67
2003,1245,758
937,862,75
1167,1144,23
214,212,2
2359,1208,1151
386,268,118
1961,1487,474
301,230,71
1997,1645,352
2017,835,1182
1109,885,224
1301,1265,36
1099,862,237
2415,2323,92
33,31,2
561,189,372
40,38,2
3544,2969,575
2225,1437,788
530,401,129
1466,1241,225
68,58,10
1609,1314,295
1117,390,727
997,550,447
545,482,63
947,561,386
475,360,115
2700,2122,578
1022,966,56
303,222,81
613,565,48
237,214,23
1449,882,567
3154,1588,1566
53,38,15
2243,1581,662
280,218,62
2201,2120,81
402,294,108
1328,1082,246
1967,1903,64
175,134,41
1870,1771,99
1453,1098,355
655,618,37
4248,2975,1273
830,742,88
796,788,8
1321,1199,122
3206,2230,976
1116,1084,32
758,676,82
590,583,7
448,446,2
2336,2060,276
253,194,59
2677,2326,351
403,128,275
1010,702,308
55,53,2
150,125,25
1478,1195,283
440,291,149
615,525,90
1439,1413,26
85,63,22
546,386,160
1823,1365,458
902,842,60
2020,1028,992
52,48,4
4506,3477,1029
1255,1084,171
1084,606,478
351,318,33
615,607,8
3047,2800,247
765,277,488
1596,1288,308
346,275,71
175,124,51
680,650,30
2081,2030,51
1102,1087,15
118,106,12
2498,1032,1466
4407,3342,1065
2268,1878,390
147,109,38
1331,919,412
316,224,92
1278,1020,258
1862,1740,122
82,81,1
1000,860,140
122,103,19
1004,637,367
2627,2146,481
642,493,149
3404,1873,1531
1853,1589,264
612,608,4
2607,2259,348
143,125,18
2096,1186,910
1691,1387,304
909,892,17
121,100,21
121,112,9
1769,1732,37
1333,811,522
26,26,0
71,66,5
389,379,10
114,95,19
3270,2196,1074
39,39,0
952,700,252
1172,741,431
121,114,7
396,369,27
140,134,6
5164,2282,2882
1623,1312,311
884,775,109
1869,1713,156
1101,915,186
458,253,205
1297,1272,25
641,543,98
2014,1930,84
1010,997,13
409,369,40
170,161,9
1938,705,1233
1144,962,182
540,490,50
2766,2156,610
162,153,9
757,715,42
1526,1210,316
91,74,17
91,81,10
306,297,9
664,581,83
508,448,60
810,687,123
120,113,7
2169,1658,511
218,163,55
70,68,2
2155,1708,447
1510,1215,295
5245,3299,1946
2723,1922,801
694,612,82
452,394,58
5949,3162,2787
1388,1325,63
1456,1190,266
1016,745,271
2046,1960,86
2374,1603,771
524,517,7
21,21,0
1462,1138,324
470,351,119
3123,2961,162
188,170,18
235,146,89
109,66,43
85,79,6
